Timestamp,Year,Crop Name,Region_Division,District,Area_Hectare,Yield_per_Hectare_M_Ton,Production _M_Ton  
8/5/2022 16:48:57,2014-2015,Potato,Rangpur,Gaibandha,9485,16.227,53908
8/5/2022 16:49:42,2014-2015,Potato,Rangpur,Kurigram,7336,20.392,149593
8/5/2022 16:50:26,2014-2015,Potato,Rangpur,Nilphamari,21794,18.297,398780
8/5/2022 16:51:10,2014-2015,Potato,Rangpur,Lalmonirhat,4464,16.283,72682
8/7/2022 20:47:21,2015-2016,Potato,Chittagong,Bandarban,364,10.058,3659
8/7/2022 20:50:17,2015-2016,Potato,Chittagong,Chittagong,3554,12.991,46174
8/7/2022 20:52:38,2015-2016,Potato,Chittagong,Cox's Bazar,889,10.123,9004
8/7/2022 20:54:29,2015-2016,Potato,Chittagong,Comilla,14512,19.717,286142
8/7/2022 20:55:46,2015-2016,Potato,Chittagong,Chandpur,12966,22.537,292220
8/7/2022 20:57:14,2015-2016,Potato,Chittagong,Brahmanbaria,2209,13.043,28814
8/7/2022 20:58:17,2015-2016,Potato,Chittagong,Khagrachari,496,9.977,4950
8/7/2022 20:59:20,2015-2016,Potato,Chittagong,Noakhali,187,10.806,2016
8/7/2022 21:01:10,2015-2016,Potato,Chittagong,Lakshmipur,332,11.133,3699
8/7/2022 21:01:58,2015-2016,Potato,Chittagong,Feni,194,12.521,2432
8/7/2022 21:02:59,2015-2016,Potato,Chittagong,Rangamati,415,9.642,4000
8/7/2022 21:04:06,2015-2016,Potato,Sylhet,Sylhet,1120,11.394,12763
8/7/2022 21:05:34,2015-2016,Potato,Sylhet,Maulavibazar,1533,11.395,17472
8/7/2022 21:07:17,2015-2016,Potato,Sylhet,Sunamgonj,769,11.178,8594
8/7/2022 21:08:25,2015-2016,Potato,Sylhet,Hobigonj,1842,11.03,20322
8/7/2022 21:09:54,2015-2016,Potato,Dhaka,Dhaka,2322,20.309,47167
8/7/2022 21:10:34,2015-2016,Potato,Dhaka,Gazipur,275,13.269,3646
8/7/2022 21:11:49,2015-2016,Potato,Dhaka,Manikgonj,2337,20.342,47547
8/7/2022 21:12:48,2015-2016,Potato,Dhaka,Munsigonj,38205,32.517,1242329
8/7/2022 21:13:52,2015-2016,Potato,Dhaka,Narayangonj,2621,24.764,64900
8/7/2022 21:14:47,2015-2016,Potato,Dhaka,Narsingdi,1483,14,20759
8/7/2022 21:15:35,2015-2016,Potato,Dhaka,Faridpur,235,23.398,5492
8/7/2022 21:16:26,2015-2016,Potato,Dhaka,Rajbari,184,18.487,3396
8/7/2022 21:17:30,2015-2016,Potato,Dhaka,Madaripur,533,18.725,9987
8/7/2022 21:18:28,2015-2016,Potato,Dhaka,Gopalgonj,204,22.036,4503
8/7/2022 21:19:42,2015-2016,Potato,Dhaka,Shariatpur,1359,24.714,33574
8/7/2022 21:20:43,2015-2016,Potato,Dhaka,Kishoregonj,4094,12.838,52557
8/7/2022 21:21:51,2015-2016,Potato,Dhaka,Tangail,3629,13.491,48956
8/7/2022 21:37:58,2015-2016,Potato,Mymensingh,Jamalpur,4464,17.474,77998
8/7/2022 21:39:24,2015-2016,Potato,Mymensingh,Sherpur,4850,17.932,86970
8/7/2022 21:40:50,2015-2016,Potato,Mymensingh,Netrokona,1367,7.776,10626
8/7/2022 21:42:03,2015-2016,Potato,Mymensingh,Mymensingh,4206,9.88,41555
8/7/2022 21:43:23,2015-2016,Potato,Barisal,Barisal,672,19.607,13179
8/7/2022 21:44:30,2015-2016,Potato,Barisal,Jhalakathi,254,15.813,4012
8/7/2022 21:45:24,2015-2016,Potato,Barisal,Perojpur,1053,11.799,12424
8/7/2022 21:46:43,2015-2016,Potato,Barisal,Bhola,5672,21.272,120664
8/7/2022 21:47:49,2015-2016,Potato,Barisal,Patuakhali,471,14.776,6966
8/7/2022 21:48:59,2015-2016,Potato,Barisal,Barguna,869,18.141,15761
8/7/2022 21:49:54,2015-2016,Potato,Khulna,Jessore,3150,22.862,72024
8/7/2022 21:51:06,2015-2016,Potato,Khulna,Jhenaidah,1623,20.263,32882
8/7/2022 21:51:48,2015-2016,Potato,Khulna,Magura,73,14.803,1078
8/7/2022 21:52:28,2015-2016,Potato,Khulna,Narail,22,13.813,302
8/7/2022 21:53:14,2015-2016,potato,Khulna,Khulna,619,13.786,8530
8/7/2022 21:54:12,2015-2016,Potato,Khulna,Bagerhat,650,14.769,9599
8/7/2022 21:55:11,2015-2016,Potato,Khulna,Satkhira,3420,17.132,58589
8/7/2022 21:56:05,2015-2016,Potato,Khulna,Kushtia,2006,21.285,42707
8/7/2022 21:57:46,2015-2016,Potato,Khulna,Chuadanga,1604,21.072,33803
8/7/2022 21:58:34,2015-2016,Potato,Khulna,Meherpur,1277,23.42,29901
8/7/2022 22:00:17,2015-2016,Potato,Rajshahi,Bogra,59327,18.47,1095760
8/7/2022 22:01:32,2015-2016,Potato,Rajshahi,Joypurhat,34247,21.614,740204
8/7/2022 22:02:21,2015-2016,Potato,Rajshahi,Pabna,1206,12.141,14646
8/7/2022 22:03:06,2015-2016,Potato,Rajshahi,Sirajgonj,3071,13.107,40252
8/7/2022 22:03:53,2015-2016,Potato,Rajshahi,Rajshahi,36075,21.564,777945
8/7/2022 22:04:50,2015-2016,Potato,Rajshahi,Noagaon,21358,16.148,344883
8/7/2022 22:05:43,2015-2016,Potato,Rajshahi,Natore,1111,16.806,18675
8/7/2022 22:06:43,2015-2016,Potato,Rajshahi,Nawabgonj,1482,18.539,27480
8/7/2022 22:08:13,2015-2016,Potato,Rangpur,Dinajpur,44278,18.995,841040
8/7/2022 22:09:23,2015-2016,Potato,Rangpur,Thakurgaon,31688,18.426,583867
8/7/2022 22:10:19,2015-2016,Potato,Rangpur,Panchagar,10800,14.821,160069
8/7/2022 22:11:22,2015-2016,Potato,Rangpur,Rangpur,50548,20.702,1046457
8/7/2022 22:12:26,2015-2016,Potato,Rangpur,Gaibandha,9567,16.291,155849
8/7/2022 22:13:25,2015-2016,Potato,Rangpur,Kurigram,7499,20.425,153170
8/7/2022 22:14:30,2015-2016,Potato,Rangpur,Nilphamari,21772,18.294,398298
8/7/2022 22:15:51,2015-2016,Potato,Rangpur,Lalmonirhat,4272,16.119,68856
8/8/2022 20:11:00,2016-2017,Potato,Barisal,Barguna,586,18.006,10558
8/8/2022 20:12:02,2016-2017,Potato,Barguna,Barisal,1598,20.286,32341
8/8/2022 20:12:53,2016-2017,Potato,Barisal,Bhola,8110,26.687,216434
8/8/2022 20:13:50,2016-2017,Potato,Barisal,Jhalakathi,278,16.128,4490
8/8/2022 20:14:43,2016-2017,Potato,Barisal,Patuakhali,461,14.981,6899
8/8/2022 20:18:54,2016-2017,Potato,Barisal,Pirojpur,908,12.262,11130
8/8/2022 20:19:49,2016-2017,Potato,Chittagong,Bandarban,375,9.866,3697
8/8/2022 20:20:44,2016-2017,Potato,Chittagong,Brahmanbaria,1785,13.278,23696
8/8/2022 20:21:47,2016-2017,Potato,Chittagong,Chandpur,13754,21.709,298576
8/8/2022 20:22:42,2016-2017,Potato,Chittagong,Chittagong,4584,14.101,64637
8/8/2022 20:24:41,2016-2017,Potato,Chittagong,Comilla,13254,18.48,244940
8/8/2022 20:25:28,2016-2017,Potato,Chittagong,Cox's Bazar,892,10.097,9009
8/8/2022 20:26:19,2016-2017,Potato,Chittagong,Feni,240,12.617,3023
8/8/2022 20:27:19,2016-2017,Potato,Chittagong,Khagrachari,147,13.61,2005
8/8/2022 20:28:17,2016-2017,Potato,Chittagong,Laksmipur,286,11.152,3191
8/8/2022 20:28:57,2016-2017,Potato,Chittagong,Noakhali,234,10.99,2575
8/8/2022 20:29:35,2016-2017,Potato,Chittagong,Rangamati,327,10.778,3520
8/8/2022 20:30:32,2016-2017,Potato,Dhaka,`Dhaka,2000,20.749,41497
8/8/2022 20:31:07,2016-2017,Potato,Dhaka,Faridpur,259,23.657,6127
8/8/2022 20:31:55,2016-2017,Potato,Dhaka,Gazipur,271,13.848,3749
8/8/2022 20:32:34,2016-2017,Potato,Dhaka,Gopalgonj,204,23.384,4574
8/8/2022 20:33:21,2016-2017,Potato,Dhaka,Kishoregonj,4209,13.007,54754
8/8/2022 20:34:04,2016-2017,Potato,Dhaka,Madaripur,751,18.91,14211
8/8/2022 20:34:45,2016-2017,Potato,Dhaka,Manikgonj,2230,20.151,44940
8/8/2022 20:35:32,2016-2017,Potato,Dhaka,Munsigonj,37652,32.708,1231517
8/8/2022 20:37:16,2016-2017,Potato,Dhaka,Narayangonj,2461,28.558,70288
8/8/2022 20:38:16,2016-2017,Potato,Dhaka,Narsingdi,1551,12.733,19750
8/8/2022 20:38:53,2016-2017,Potato,Dhaka,Rajbari,151,19.004,2861
8/8/2022 20:39:32,2016-2017,Potato,Dhaka,Shariatpur,1842,24.863,45800
8/8/2022 20:40:14,2016-2017,Potato,Dhaka,Tangail,3615,13.603,49180
8/8/2022 20:41:34,2016-2017,Potato,Khulna,Bagerhat,524,15.6,8182
8/8/2022 20:42:22,2016-2017,Potato,Khulna,Chuadanga,1864,21.734,40510
