Timestamp,Year,Crop Name,Region_Division,District,Area_Hectare,Yield_per_Hectare_M_Ton,Production _M_Ton 
8/13/2022 0:53:40,2019-2020,Amon,Sylhet ,Moulvibazar ,103314,2.763,285454
8/13/2022 0:54:32,2019-2020,Amon,Sylhet,Sunamganj ,80285,2.814,225927
8/13/2022 0:55:13,2019-2020,Amon,Sylhet,Sylhet,140527,2.345,329544
8/13/2022 0:55:46,2016-2017,Amon,Rajshahi ,Bogra ,181148,2.407,494235
8/13/2022 0:56:37,2018-2019,Amon,Khulna,Jessore,126228,2.887,364433
8/13/2022 0:58:48,2018-2019,Amon,Khulna,Jhinaidaha,99037,2.848,282094
8/13/2022 1:00:23,2018-2019,Amon,Khulna,Khulna,95606,2.347,224346
8/13/2022 1:02:01,2018-2019,Amon,Khulna,Kushtia,84636,2.852,241348
8/13/2022 1:03:27,2018-2019,Amon,Khulna,Magura,57381,2.685,154063
8/13/2022 1:06:42,2016-2017,Amon,Rajshahi ,Joypurhat ,70673,2.858,201989
8/13/2022 1:07:05,2018-2019,Amon,Khulna,meherpur,25330,2.745,69537
8/13/2022 1:08:06,2016-2017,Amon,Rajshahi ,Noagaon ,203872,2.902,591670
8/13/2022 1:08:53,2018-2019,Amon,Khulna,Norail,39209,2.179,85418
8/13/2022 1:09:23,2016-2017,Amon,Rajshahi ,Natore ,78833,2.538,200055
8/13/2022 1:11:04,2018-2019,Amon,Khulna,Satkhira,85419,2.823,241143
8/13/2022 1:11:48,2016-2017,Amon,Rajshahi ,Nawabgonj ,52409,2.773,1455324
8/13/2022 1:13:24,2016-2017,Amon,Rajshahi ,Pabna ,91540,2.145,196395
8/13/2022 1:13:33,2018-2019,Amon,Mymensingh,Jamalpur,102802,2.391,245755
8/13/2022 1:14:28,2016-2017,Amon,Rajshahi ,Rajshahi ,71038,2.915,207047
8/13/2022 1:14:35,2018-2019,Amon,Mymensingh,Mymensingh,267877,2.42,648376
8/13/2022 1:14:46,2020-2021,Amon,Barishal,Barguna ,42911,2.39,102554
8/13/2022 1:15:44,2020-2021,Amon,Barishal ,Barishal,47101,2.307,108658
8/13/2022 1:16:08,2016-2017,Amon,Rajshahi ,Sirajgonj ,79811,2.47,197160
8/13/2022 1:16:15,2018-2019,Amon,Mymensingh,Netrokona,129326,2.269,293442
8/13/2022 1:16:24,2020-2021,Amon,Barishal,Bhola,125828,2.96,372448
8/13/2022 1:17:44,2018-2019,Amon,Mymensingh,Sherpur,86539,2.319,200707
8/13/2022 1:17:50,2016-2017,Amon,Rangpur ,Dinajpur ,253203,2.544,644047
8/13/2022 1:17:52,2020-2021,Amon,Barishal,Jhalkathi,9579,2.729,26144
8/13/2022 1:18:41,2020-2021,Amon,Barishal ,Patuakhali ,73950,2.717,200952
8/13/2022 1:19:10,2016-2017,Amon,Rangpur ,Gaibandha ,113035,2.58,291596
8/13/2022 1:19:20,2018-2019,Amon,Rajshahi,Bagura,175577,2.665,467997
8/13/2022 1:19:28,2020-2021,Amon,Barishal ,Pirojpur ,9617,2.557,24589
8/13/2022 1:20:15,2016-2017,Amon,Rangpur ,Kurigram ,101108,2.443,247025
8/13/2022 1:20:41,2020-2021,Amon,Chittagong,Bandarban,10082,2.946,29702
8/13/2022 1:21:24,2018-2019,Amon,Rajshahi,joypurhat,76028,2.869,218127
8/13/2022 1:21:26,2020-2021,Amon,Chittagong,Brahmanbaria ,45511,3.155,143569
8/13/2022 1:21:45,2016-2017,Amon,Rangpur ,Lalmonirhat ,81757,2.822,230719
8/13/2022 1:22:07,2020-2021,Amon,Chittagong,Chandpur ,19075,2.725,51975
8/13/2022 1:22:59,2018-2019,Amon,Rajshahi,Naogaon,162985,2.723,443820
8/13/2022 1:23:02,2020-2021,Amon,Chittagong,Chittagong,153030,2.569,393115
8/13/2022 1:23:44,2016-2017,Amon,Rangpur ,Panchagar ,92051,2.797,257502
8/13/2022 1:23:47,2020-2021,Amon,Chittagong,Cumilla ,106548,2.51,267419
8/13/2022 1:24:17,2018-2019,Amon,Rajshahi,Nator,77357,2.475,191444
8/13/2022 1:24:38,2020-2021,Amon,Chittagong,Cox's Bazar ,70837,2.789,197588
8/13/2022 1:24:56,2016-2017,Amon,Rangpur ,Rangpur ,159130,2.817,448271
8/13/2022 1:25:34,2020-2021,Amon,Chittagong,Feni,59551,3.117,185607
8/13/2022 1:26:11,2018-2019,Amon,Rajshahi,Chapainawabganj,53322,2.681,142977
8/13/2022 1:26:27,2020-2021,Amon,Chittagong,Khagrachhari ,25508,3.32,84679
8/13/2022 1:26:47,2016-2017,Amon,Rangpur ,Thakurgaon ,127754,2.838,362581
8/13/2022 1:27:23,2020-2021,Amon,Chittagong,Lakkhipur,63292,2.782,176074
8/13/2022 1:27:32,2018-2019,Amon,Rajshahi,Pabna,88965,2.177,193696
8/13/2022 1:28:00,2020-2021,Amon,Chittagong,Noakhali ,122260,2.857,349354
8/13/2022 1:28:31,2016-2017,Amon,Sylhet ,Hobigonj ,96396,2.092,201652
8/13/2022 1:28:39,2018-2019,Amon,Rajshahi,Rajshahi,72369,2.713,196312
8/13/2022 1:28:43,2020-2021,Amon,Chittagong,Rangamati ,9476,3.003,28459
8/13/2022 1:29:56,2016-2017,Amon,Sylhet ,Maulavibazar ,98841,2.58,254963
8/13/2022 1:30:12,2018-2019,Amon,Rajshahi,Shirajganj,87202,2.325,202740
8/13/2022 1:30:58,2016-2017,Amon,Sylhet ,Sunamgonj ,57800,2.189,126520
8/13/2022 1:32:09,2016-2017,Amon,Sylhet ,Sylhet ,131289,2.204,289409
8/13/2022 1:32:23,2018-2019,Amon,Rangpur,Dinajpur,260380,2.958,770155
8/13/2022 1:33:56,2018-2019,Amon,Rangpur,Gaibandha,125299,2.791,349760
8/13/2022 1:35:26,2018-2019,Amon,Rangpur,Kurigram,116104,2.71,314620
8/13/2022 1:36:46,2018-2019,Amon,Rangpur,Lalmonirhat,83444,2.865,239059
8/13/2022 1:38:05,2018-2019,Amon,Rangpur,Nilphamari,112475,3.014,338997
8/13/2022 1:39:32,2018-2019,Amon,Rangpur,Panchagar,96550,2.962,285975
